time,open,high,low,close,Volume,Volume MA,OSC,ADX
2023-07-18T13:30:00Z,132.655,132.655,131.65,132.06,175980,59303.25,-0.07808375544017963,19.669033901445676
2023-07-18T13:31:00Z,132,132.28,131.8,132.09,58368,61614.45,-0.128984594300271,22.522025334853097
2023-07-18T13:32:00Z,132.1,132.12,131.6,131.7,69182,64140.15,-0.19585889159763026,25.39731192495114
2023-07-18T13:33:00Z,131.71,131.75,131.5,131.51,59617,66371,-0.26695355208383503,28.174873891331696
2023-07-18T13:34:00Z,131.5,131.7,131.5,131.67,70308,68690.25,-0.3658050267794694,30.754038574399363
2023-07-18T13:35:00Z,131.66,131.66,131.39,131.48,69873,71305.5,-0.4573054519102899,33.274281507429464
2023-07-18T13:36:00Z,131.48,131.64,131.35,131.62,59246,73444.5,-0.5276419255424236,35.660286648825675
2023-07-18T13:37:00Z,131.63,131.88,131.5,131.81,55951,75384.15,-0.5861492449591532,36.581911646660785
2023-07-18T13:38:00Z,131.81,132.19,131.8,132.04,48558,77017.65,-0.6279618941064284,36.04409910326251
2023-07-18T13:39:00Z,132.03,132.32,131.98,132.01,151407,83929.35,-0.6861028382794657,35.028594868844635
2023-07-18T13:40:00Z,132,132.3,131.99,132.24,40150,84411.75,-0.6251144290041117,34.08562665117089
2023-07-18T13:41:00Z,132.23,132.26,132.09,132.23,29030,83035.9,-0.5695845649374593,33.21001330618813
2023-07-18T13:42:00Z,132.23,132.27,132.14,132.19,27246,82612.7,-0.48616426099833837,32.35038541693838
2023-07-18T13:43:00Z,132.2,132.33,132,132.15,58381,82427.6,-0.38955156273629954,31.972438436318324
2023-07-18T13:44:00Z,132.16,132.17,131.99,132.05,33680,78847.55,-0.3103318046941633,31.65123279967577
2023-07-18T13:45:00Z,132.05,132.22,132,132.1,25796,76396.2,-0.20032463676351137,31.08140360135548
2023-07-18T13:46:00Z,132.08,132.13,131.99,132.13,41503,72664,-0.10641171069011551,30.587074802580595
2023-07-18T13:47:00Z,132.12,132.295,132.11,132.27,28373,70442.55,-0.028424750067890827,29.22465822792158
2023-07-18T13:48:00Z,132.27,132.27,132.06,132.07,19998,67403.85,0.023212393399258274,28.162905595788228
2023-07-18T13:49:00Z,132.07,132.15,131.97,132.11,30229,57643.8,0.07731447590918433,27.53609764712868
2023-07-18T13:50:00Z,132.12,132.13,131.69,131.73,25119,50100.75,0.10475379430259624,27.90044585897149
2023-07-18T13:51:00Z,131.715,131.74,131.48,131.58,71159,50740.3,0.07283147705666246,28.802664486208734
2023-07-18T13:52:00Z,131.56,131.56,131.41,131.52,36236,49093,0.04263214702099344,29.81192565160024
2023-07-18T13:53:00Z,131.52,131.71,131.39,131.54,37253,47974.8,0.0021660258836502825,29.879002117368014
2023-07-18T13:54:00Z,131.53,131.72,131.52,131.62,26898,45804.3,-0.03440234499126943,29.88449042546511
2023-07-18T13:55:00Z,131.62,131.63,131.45,131.5,33160,43968.65,-0.07375477889847706,30.108901355974833
2023-07-18T13:56:00Z,131.5,131.67,131.43,131.59,32305,42621.6,-0.11865997617452922,30.067697321451398
2023-07-18T13:57:00Z,131.6,131.78,131.57,131.75,22520,40950.05,-0.16276626850512127,29.361642620305034
2023-07-18T13:58:00Z,131.75,131.79,131.68,131.78,36502,40347.25,-0.18366904916646964,28.645786364455333
2023-07-18T13:59:00Z,131.785,132,131.65,131.96,43296,34941.7,-0.19215774045924305,26.81365334492924
2023-07-18T14:00:00Z,131.94,132.03,131.86,132.02,27648,34316.6,-0.17053351286798785,24.960580670620388
2023-07-18T14:01:00Z,132.02,132.08,131.95,132.015,17576,33743.9,-0.12944487265844137,23.372813958924084
2023-07-18T14:02:00Z,131.99,132.01,131.875,131.9,16220,33192.6,-0.08873202567214682,21.90844507595951
2023-07-18T14:03:00Z,131.9,131.92,131.66,131.66,20161,31281.6,-0.06050822576049368,21.5485498259981
2023-07-18T14:04:00Z,131.67,131.69,131.54,131.59,21538,30674.5,-0.04256840835366187,21.687736147566632
2023-07-18T14:05:00Z,131.59,131.87,131.58,131.87,24562,30612.8,-0.008001285985841053,20.810581609294392
2023-07-18T14:06:00Z,131.86,131.95,131.86,131.9,16239,29349.6,0.0227411893692566,19.591437647044213
2023-07-18T14:07:00Z,131.91,131.96,131.81,131.87,13353,28598.6,0.04124147125255009,18.690926078762487
2023-07-18T14:08:00Z,131.88,132,131.85,131.95,11861,28191.75,0.06570853018454895,17.639267699366904
2023-07-18T14:09:00Z,131.93,131.955,131.84,131.9,11820,27271.3,0.06730253256232775,16.71440777987666
2023-07-18T14:10:00Z,131.91,131.99,131.825,131.92,15546,26792.65,0.06658439232899864,15.64911544365723
2023-07-18T14:11:00Z,131.91,132.08,131.88,131.99,19515,24210.45,0.055286051112153275,14.919267178797737
2023-07-18T14:12:00Z,131.96,132.02,131.85,132.02,17983,23297.8,0.04848502365508551,14.054288156870646
2023-07-18T14:13:00Z,132.02,132.08,131.97,131.97,17112,22290.75,0.055737876650249055,13.604001666736924
2023-07-18T14:14:00Z,131.975,131.975,131.79,131.85,10165,21454.1,0.0642557226056622,13.164424179525547
2023-07-18T14:15:00Z,131.86,132.01,131.86,131.92,20586,20825.4,0.057206316530462445,12.536030655589823
2023-07-18T14:16:00Z,131.92,131.93,131.8,131.83,10161,19718.2,0.039974650221499555,12.29615902141894
2023-07-18T14:17:00Z,131.86,132,131.835,131.95,12717,19228.05,0.033037082771106535,11.609824472946752
2023-07-18T14:18:00Z,131.97,132.01,131.86,131.895,14667,18136.3,0.02363020622691824,10.906039178477998
2023-07-18T14:19:00Z,131.9,132.01,131.86,132,12614,16602.2,0.023267316009196907,10.252524262185585
